coffee_name,total_score,roast_level,agtron_ground,agtron_roast,price_per_100g,roaster_country,origin_country
Colombia Cafe La Granja Pink Bourbon,96,Light,62,88,28.0,USA,Colombia
Colombia Cafe La Granja Sudan Rume Natural,95,Light,66,92,28.0,USA,Colombia
Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,97,Light,64,88,617.28,Taiwan,Panama
Kenya AA Kangiri New Irati,95,Light,66,84,5.59,USA,Kenya
Costa Rica Central Valley Honey Geisha,94,Light,62,80,9.41,USA,Costa Rica
Ethiopia Sidama Bombe G1 Washed,94,Light,64,84,5.59,USA,Ethiopia
Kenya AA Aries Return Espresso,96,Medium,44,60,418.87,Taiwan,Kenya
Kenya All’s Well Peaberry Espresso,96,Medium,46,72,396.83,Taiwan,Kenya
Espresso No. 6 Finca San José Ocaña,96,Medium,50,64,7.35,Guatemala,Guatemala
Kahiko Orange,98,Medium Light,54,84,44.07,USA,Unknown
Kenya Washed Kiambu Yara Estate PB TOP,97,Medium Light,58,80,264.55,Taiwan,Kenya
Kona Orange,96,Light,58,84,35.25,USA,USA
Colombia Wilton Benitez Sudan Rume,96,Light,64,84,12.79,USA,Colombia
Ethiopia Washed Gute 74110 Lot JH,95,Light,60,82,211.64,Taiwan,Ethiopia
Ethiopia Natural Sidama Bura Karamo 74158,95,Light,57,88,211.64,Taiwan,Ethiopia
Taiwan Honey Alishan Ming Yang Yuan Gesha,95,Light,62,84,0.88,Taiwan,Taiwan
Kenya Washed Kiambu AB TOP Lot Yerihar,94,Medium Light,58,78,154.32,Taiwan,Kenya
Kenya Ibonia Estate,95,Medium Light,58,80,7.05,USA,Kenya
Ethiopia Worka Sakaro,94,Light,62,86,7.94,USA,Ethiopia
Guatemala Washed Huehuetenango Joya Verde,94,Medium Light,56,74,114.64,Taiwan,Guatemala
Ethiopia Washed Guji Uraga Tebe Burka,94,Medium Light,58,80,145.5,Taiwan,Ethiopia
Ethiopia Natural Sidama ALO Village SKY Project FL,94,Medium Light,60,77,432.1,Taiwan,Ethiopia
Taiwan Natural Alishan Chi Tsai Liu Li Ecological Farm,94,Medium Light,60,77,0.88,Taiwan,Taiwan
Wilton Benitez SL28,96,Medium Light,58,82,14.55,USA,Colombia
Kolla Bolcha #6 Ethiopia,94,Medium Light,60,79,5.88,USA,Ethiopia
Bener Meriah Sumatra,94,Medium Light,59,77,5.88,USA,Indonesia
Yemen Haraaz,96,Light,60,82,16.0,USA,Yemen
Ethiopia Yirgacheffe Hama Honey,95,Medium Light,59,81,264.32,Taiwan,Ethiopia
Colombia Finca Santuario Red Bourbon Natural,95,Light,62,94,264.32,Taiwan,Colombia
Ethiopia Yirgacheffe Gutiti Gargari Natural,94,Medium Light,60,77,198.24,Taiwan,Ethiopia
130 Blend,94,Medium Light,55,79,5.59,USA,Ethiopia
Ethiopia Bench Maji Gori Gesha ORO Yeast Natural G1,94,Medium Light,55,79,343.61,Taiwan,Ethiopia
Fruits Melody,94,Light,65,81,171.81,Taiwan,Ethiopia
Kenya Melwa AA Washed,94,Light,64,88,211.45,Taiwan,Kenya
Colombia Wilton Benitez Thermal Shock Red Bourbon,94,Light,60,83,16.75,USA,Colombia
Panama Elida Estate Geisha Natural ASD T3D Auction Lot EG6,97,Light,66,84,70.55,Taiwan,Panama
El Salvador La Providencia Maria Pacas Bernadina Honey,95,Light,62,84,11.54,USA,El Salvador
Colombia El Vergel Martha Montenegro Rubi Marti Anaerobic,95,Light,66,90,13.89,USA,Colombia
Ethiopia West Arsi Washed G1,95,Light,64,88,244.44,Taiwan,Ethiopia
Ethiopia Washed Yirgacheffe Chelbesa SNNPR Gedeo G1,94,Light,64,84,211.64,Taiwan,Ethiopia
Colombia Lulo Wonka Wonka & Sebastian Gomez,96,Light,64,86,8.81,USA,Colombia
Colombia Finca La Reserva,94,Light,64,84,8.81,USA,Colombia
Ethiopia Washed Ayla Bombe,94,Medium Light,59,79,5.59,USA,Ethiopia
Ethiopia Mr. Ocholo Bedecho,95,Light,58,84,6.47,USA,Ethiopia
Colombia Pink Champagne El Mirador Blend,94,Light,66,93,10.23,USA,Colombia
Guatemala El Injerto Malawi Geisha Washed,95,Light,69,88,950.0,Taiwan,Guatemala
Guatemala El Injerto Legendary Geisha Natural Lot E1-06,94,Light,60,88,20.87,Taiwan,Guatemala
Guatemala Washed Finca La Hermosa Gesha Peaberry,94,Medium Light,56,84,19.36,Taiwan,Guatemala
Qunqana Ethiopia,95,Light,63,81,6.76,USA,Ethiopia
Finca La Reserva Colombia Gesha Honey,95,Medium Light,59,77,9.7,USA,Colombia
Ethiopia Ayla Bombe,96,Medium Light,61,78,5.88,USA,Ethiopia
Ethiopia Arbegona Yaye Washed,95,Light,62,80,7.05,USA,Ethiopia
Sumatra Putra Gayo Natural,94,Medium Light,60,79,6.76,USA,Indonesia
El Salvador Finca Plan del Hoyo Microlot,94,Medium Light,60,77,4.7,USA,El Salvador
Kenya Kichwa Tembo,94,Medium Light,59,81,8.23,USA,Kenya
Ethiopia Sidama Alice Orchard Natural G1,95,Light,64,86,242.29,Taiwan,Ethiopia
Colombia Fruit Loops Gesha Washed,94,Light,65,89,22.33,USA,Colombia
Kenya Gachatha AA Top,94,Light,62,80,136.24,Taiwan,Kenya
Ethiopia Bench-Maji Lucy Station Geisha Washed,94,Light,64,84,149.47,Taiwan,Ethiopia
Ethiopia Yirgacheffe Lalisa Black Honey TOH#2,94,Light,66,90,197.97,Taiwan,Ethiopia
Panama Hacienda La Esmeralda Nano GIGANTE 4FC-N Geisha Washed,97,Light,62,84,6000.0,Taiwan,Panama
Kenya Washed Kiambu AA,96,Medium,47,69,127.87,Taiwan,Kenya
Kenya Washed Kiambu Maganjo AA TOP,95,Medium Light,58,82,154.32,Taiwan,Kenya
Ethiopia Washed Yirgacheffe Botabaa Lot,95,Light,62,84,145.5,Taiwan,Ethiopia
Ecuador Galo Morales,94,Light,64,86,8.82,USA,Ecuador
Orange Bourbon Natural,95,Light,64,88,15.43,USA,Unknown
Ethiopia Yirgacheffe Huke Premium Washed G1,95,Light,64,82,6.17,USA,Ethiopia
