coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country
Elida Natural Dragonfly Lot;94;Boulder, Colorado;Boquete growing region, western Panama;Medium Light;$18.00/12 ounces;55;75;5,29;18.0;Panama
Worka Ethiopia;95;Madison, Wisconsin;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$18.75/12 ounces;58;78;5,51;18.75;Ethiopia
Indonesia Sumatra Tano Batak;94;San Diego, California;Lintong growing region, northern Sumatra, Indonesia;Medium Light;$20.99/12 ounces;52;74;6,17;20.99;Indonesia
Ethiopia Hambela Washed;94;Floyd, Virginia;Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia;Light;$16.00/12 ounces;65;78;4,7;16.0;Ethiopia
Kenya Muranga Gondo AA;96;Chia-Yi, Taiwan;Murang’a County, central Kenya;Medium Light;$22.00/16 ounces;56;80;4,85;22.0;Kenya
Kenya Small-Lot Reserve Karatina AA;95;Boulder, Colorado;Nyeri growing region, south-central Kenya;Medium Light;$18.00/12 ounces;56;78;5,29;18.0;Kenya
Washed Yirgacheffe Aramo Alemayehu Berhanu;95;Chia-Yi, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;$19.00/16 ounces;56;78;4,19;19.0;Ethiopia
Kenya Nyeri Gathugu;94;Burlington, Vermont;Nyeri growing region, south-central Kenya;Medium Light;$15.00/12 ounces;54;75;4,41;15.0;Kenya
Ethiopia Yirgacheffe Chelelektu;94;Taichung City, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Light;NT $5800/8 ounces;69;84;2557,32;5800.0;Ethiopia
Passport Collection Kenya Ichamara;94;Tequesta, Florida;Nyeri growing region, south-central Kenya;Medium Light;$16.00/12 ounces;54;73;4,7;16.0;Kenya
Ethiopia Limu Natural No. 701;94;Tequesta, Florida;Limu Woreda, southwest Ethiopia;Medium Light;$16.50/12 ounces;57;80;4,85;45793,00;Ethiopia
Ethiopia Yirgacheffe YCFCU Idido;94;YiLan, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $580/227 grams;52;76;255,51;20.458553791887123;Ethiopia
Sumatra Black Panther;94;Yongin-Si, South Korea;Pondok, Aceh Province, northern Sumatra, Indonesia;Medium;KRW $10,000/250 grams;50;69;4;;Indonesia
Sumatra Lintong Mutu Batak;94;Los Angeles, California;Lintong growing region, North Sumatra Province, Indonesia;Medium Light;$14.50/12 ounces;54;74;4,26;45791,00;Indonesia
Amaro Gayo Natural Ethiopia;94;Sacramento, California;Amaro Mountains, Sidama (also Sidamo) growing area, southern Ethiopia;Light;$17.95/12 ounces;58;90;5,28;17.95;Ethiopia
Ardi Ethiopia Natural;94;Tulsa, Oklahoma;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;$15.99/12 ounces;54;79;4,7;15.99;Ethiopia
Deri Kochoha Espresso;96;Madison, Wisconsin;Sidamo (also Sidama) growing region, southern Ethiopia;Medium Light;$16.80/12 ounces;56;78;4,94;45885,00;Ethiopia
Camilina Geisha Auromar Natural;95;Boulder, Colorado;Piedra Candela, Chiriqui Province, far western Panama;Light;$49.50/8 ounces;58;84;21,83;49.5;Panama
ManLao River Ethiopia Yirgacheffe Dry Process Gedeb Asasa;94;Pu'Er Yunnan Province, China;Gedeb District, Yirgacheffe growing region, southern Ethiopia;Medium Light;RMB $75.00/150 grams;54;78;50;;Ethiopia
Deri Kochoha Ethiopia;94;Madison, Wisconsin;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;$16.80/12 ounces;56;80;4,94;45885,00;Ethiopia
Cachajinas Guatemala Huehuetenango;94;Lee, Massachusetts;Huehuetenango Department, Guatemala;Medium Light;$17.95/12 ounces;56;80;5,28;17.95;Guatemala
Ethiopia Yirgacheffe Goro;94;Newtown, Sydney, Australia;Yirgacheffe growing region, south-central Ethiopia;Medium Light;AUD $16.00/250 grams;54;76;6,4;;Ethiopia
El Obraje Geisha;95;Boulder, Colorado;Nariño Department, southern Colombia;Medium Light;$32.00/12 ounces;50;73;9,41;32.0;Colombia
Ethiopia Yirgacheffe Reko;96;Sacramento, California;Kochere, Yirgacheffe growing region, southern Ethiopia;Medium Light;$19.50/12 ounces;54;76;5,73;45796,00;Ethiopia
Costa Rica Alberto Guardia Bourbon Natural;95;Sacramento, California;Central Valley, Costa Rica;Medium Light;$20.50/12 ounces;60;80;6,03;45797,00;Rica
Colombia San Adolfo;94;Floyd, Virginia;San Adolfo, Acevedo, Huila Department, Colombia;Light;$17.00/12 ounces;65;81;5;17.0;Colombia
Laura’s Reserve SL-28;94;Holulaloa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$39.95/8 ounces;58;83;17,61;39.95;Hawaii
Brazil Estancia Telese;94;Billings, Montana;Mantiqueira de Minas growing region, Minas Gerais State, Brazil;Light;$13.25/12 ounces;66;83;3,89;13.25;Brazil
Brazil Fazenda Passeio Natural;94;Branford, Connecticut;Carmo de Minas growing region, Minas Gerais State, Brazil;Medium Light;$13.99/16 ounces;55;81;3,08;13.99;Brazil
Kenya Nyeri Gatugi AA;94;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Light;$500 NTD/16 ounces;60;84;110,23;;Kenya
Panama La Esmeralda Bosque Geisha;95;San Diego, California;Boquete growing region, western Panama;Medium Light;$50.00/8 ounces;53;80;22,05;50.0;Panama
Ethiopia Yirgacheffe Kebele Kochore;94;San Diego, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$28.00/16 ounces;48;78;6,17;28.0;Ethiopia
El Sitio Ecuador;94;Lexington, Virginia;Pichincha growing region, northern Ecuador;Medium Light;$18.95/12 ounces;52;80;5,57;18.95;Ecuador
Harfusa Espresso;94;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$17.80/12 ounces;57;84;5,23;45886,00;Ethiopia
SOPACDI Congo;94;Lexington, Virginia;Kalehe, South Kivu Province, Democratic Republic of the Congo;Medium Light;$17.95/12 ounces;54;74;5,28;17.95;Congo
Reserve Panama Geisha Hacienda La Esmeralda;95;Chicago, Illinois;Boquete growing region, western Panama;Medium Light;$53.00/8 ounces;54;86;23,37;53.0;Panama
Competition Blend;94;Floyd, Virginia;Yirgacheffe growing region, southern Ethiopia;Light;$16.99/12 ounces;62;84;4,99;16.99;Ethiopia
Bean Brain Reserve Suke Quto Ethiopia Sidamo Espresso;94;San Diego, California;Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia;Medium Light;$19.00/12 ounces;60;80;5,59;19.0;Ethiopia
Hambela Ethiopia;96;Lee, Massachusetts;Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$17.45/12 ounces;57;82;5,13;17.45;Ethiopia
Drima Zede Ethiopia;94;Suzhou, China;Yirgacheffe growing region, southern Ethiopia;Medium Light;CNY $90/227 grams;57;82;39,65;;Ethiopia
Ecuador Juan Peña;94;San Francisco, California;Saraguru growing region, southern Ecuador;Light;$20.00/250 grams;64;78;8;0.7054673721340388;Ecuador
Kenya Othaya Peaberry;94;New Orleans, Louisiana;Nyeri growing region, central Kenya;Medium Light;$14.75/12 ounces;55;80;4,34;14.75;Kenya
Organic Ethiopia Aramo Natural;94;Driftless, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Light;$17.75/12 ounces;64;84;5,22;17.75;Ethiopia
Love Shack (Kenya);94;Post Falls, Idaho;Kenya;Medium Light;$17.50/12 ounces;54;78;5,14;45794,00;Kenya
100% Kona Bourbon Pointu Laurina;94;Holulaloa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$34.95/8 ounces;56;78;15,41;34.95;Hawaii
Costa Rica Alberto Guardia Venecia Natural;95;Sacramento, California;Central Valley, Costa Rica;Light;$18.50/12 ounces;60;82;5,44;45795,00;Rica
Adame Gorbota Espresso;95;Madison, Wisconsin;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$17.50/12 ounces;56;72;5,14;45794,00;Ethiopia
El Aguila Pacamara Espresso;94;Santa Ana growing region, El Salvador;Santa Ana growing region, El Salvador;Medium Light;$15.75/12 ounces;60;80;4,63;15.75;Salvador
Ethiopia Natural Yirgacheffe Banko Gutiti Coop;95;Chia-Yi, Taiwan;Kochere, Yirgacheffe growing region, south-central Ethiopia;Light;NT $600/16 ounces;62;84;132,28;600.0;Ethiopia
Ethiopia Natural Sidamo Guji Shakisso;94;Chia-Yi, Taiwan;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;NT $500/16 ounces;53;81;110,23;500.0;Ethiopia
Colombia Granja La Esperanza Las Margaritas Sudan Rume;95;Topeka, Kansas;Valle del Cauca growing region, Colombia;Medium Light;$35.00/8 ounces;52;78;15,43;35.0;Colombia
Adame Gorbota Ethiopia;94;Madison, Wisconsin;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$17.50/12 ounces;54;82;5,14;45794,00;Ethiopia
Ethiopia Yirgacheffe Adado;94;Bedford, New Hampshire;Yirgacheffe growing region, southern Ethiopia;Medium Light;$15.50/12 ounces;55;78;4,56;45792,00;Ethiopia
Panama Ratibor Hartmann Natural;95;Sacramento, California;Santa Clara, Piedra Candela, Volcan growing region, western Panama;Medium Light;$17.50/12 ounces;58;80;5,14;45794,00;Panama
Kenya AA Nyeri Tambaya;94;Floyd, Virginia;Nyeri growing region, south-central Kenya;Light;$15.49/12 ounces;60;84;4,55;15.49;Kenya
Costa Rica Las Lajas Red Honey;94;Floyd, Virginia;Sabanilla de Alajuela growing region, Costa Rica;Medium Light;$16.49/12 ounces;53;77;4,85;16.49;Rica
Bernachon Panama Geisha;95;Taipei, Taiwan;Boquete growing region, western Panama;Medium Light;NT $2800/454 grams;60;76;616,74;98.76543209876543;Panama
Panama La Esmeralda Geisha Bosque Natural;97;Sacramento, California;Boquete growing region, western Panama;Medium Light;$62.00/8 ounces;59;82;27,34;62.0;Panama
Harfusa Ethiopia Yirgacheffe Fair Trade Organic;95;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$17.80/12 ounces;54;76;5,23;45886,00;Ethiopia
ASOPCAFA Colombia;94;Madison, Wisconsin;Huila Department, southern Colombia;Medium Light;$14.85/12 ounces;60;77;4,37;14.85;Colombia
Guatemala San Sebastian Natural;95;San Francisco, California;Antigua Valley, Guatemala;Medium Light;$14.50/250 grams;59;78;5,8;0.5114638447971781;Guatemala
Ethiopia Hachira Natural Espresso;94;San Francisco, California;Yirgacheffe growing region, southern Ethiopia;Light;$22.50/250 grams;62;87;9;0.7936507936507936;Ethiopia
Ethiopia Kochere Espresso Profile;94;San Francisco, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$18.00/320 grams;50;79;5,62;0.6349206349206349;Ethiopia
Kenya Nyeri Kiama FCS Ichuga Factory Peaberry;95;Seattle, Washington;South-central Kenya;Medium;$19.50/12 ounces;49;68;5,73;45796,00;Kenya
Kenya Nyeri Thageini;94;Belmar, New Jersey;South-central Kenya;Medium Light;$18.00/12 ounces;54;68;5,29;18.0;Kenya
Kenya AA Lot-125 “Queen Flora”;95;Taoyuan City, Taiwan;Kenya;Medium Dark;NT $900/8 ounces;44;56;396,83;900.0;Kenya
Ethiopia Natural Yirgacheffe Phoenix Special “King Solomon”;94;Taoyuan City, Taiwan;"Yirgacheffe growing region, southern Ethiopia; Sidama (also Sidamo) growing region, southern Ethiopia";Medium;NT $800/8 ounces;48;60;352,73;800.0;Ethiopia
Fully Washed Ethiopia Phoenix Special “Dr. Evil”;94;Taoyuan City, Taiwan;Ethiopia;Medium;NT $700/8 ounces;45;57;308,64;700.0;Ethiopia
Sulawesi “Tanah Kebangkitan” Phoenix Special Espresso;94;Taoyuan City, Taiwan;Toraja growing region, South Sulawesi, Indonesia;Medium Dark;NT $700/8 ounces;44;56;308,64;700.0;Indonesia
Kenya AA Lot-122 “Excalibur” Espresso;94;Taoyuan City, Taiwan;Kenya;Medium Dark;NT $900/8 ounces;45;54;396,83;900.0;Kenya
Panama Elida Natural Lot #13;95;Sacramento, California;Boquete growing region, western Panama;Light;$20.00/250 grams;63;86;8;0.7054673721340388;Panama
Emma’s Jo: The Leam Hammer Competition Espresso;95;Boulder, Colorado;"Central America; South America; East Africa";Medium Light;$18.00/12 ounces;55;75;5,29;18.0;Africa
Costa Rica Sumava Natural Lot;94;Sacramento, California;Lourdes de Naranjo, West Valley, Costa Rica;Light;$20.00/250 grams;61;85;8;0.7054673721340388;Rica
Panama Auromar Geisha Natural Peaberry;96;Topeka, Kansas;Boquete growing region, western Panama;Medium Light;$40.00/8 ounces;53;70;17,64;40.0;Panama
El Burro Geisha Tachi Natural;95;Ovledo, Florida;Boquete growing region, western Panama;Medium Light;$46.95/12 ounces;55;75;13,8;46.95;Panama
Holiday Blend;95;Bozeman, Montana;"Ethiopia; Kenya.";Medium Light;$15.25/12 ounces;54;77;4,48;15.25;
Holiday Blend;95;Kaohsiung, Taiwan;"Guatemala; Ethiopia.";Light;$25.00/8 ounces;66;82;11,02;25.0;
Nicaragua Pacamara Los Congos Lot #8;95;Sacramento, California;San Fernando, Nueva Segovia region, Nicaragua;Light;$20.00/250 grams;68;82;8;0.7054673721340388;Nicaragua
Panama Boquete Kotowa Gesha Natural;94;Torrington, Connecticut;Boquete growing region, western Panama;Light;$45.00/8 ounces;64;84;19,84;45.0;Panama
Holiday Blend;94;Olympia, Washington;"Honduras; Kenya; Ethiopia";Medium Light;$18.90/12 ounces;59;70;5,56;45918,00;Ethiopia
Panama Finca Auromar Camilina Natural;94;Branford, Connecticut;Piedra Candela, Chiriqui Province, western Panama;Light;$50.00/8 ounces;66;90;22,05;50.0;Panama
El Aguila SL-28 El Salvador;94;Madison, Wisconsin;Santa Ana growing region, El Salvador;Medium Light;$18.75/12 ounces;58;77;5,51;18.75;Salvador
Ethiopia Sidama Special Lot Natural;95;Boulder, Colorado;Guji Zone, Sidama Province, southern Ethiopia;Light;$18.00/12 ounces;63;86;5,29;18.0;Ethiopia
Panama Finca Deborah Caturra Natural;94;Sacramento, California;Chiriqui, Boquete growing region, western Panama;Light;$20.00/8 ounces;65;88;8,82;20.0;Panama
Nekisse Red N2 Level 39;96;Pu'Er Yunnan Province, China;Sidamo (also Sidama) growing region, southern Ethiopia;Medium Light;RMB $235/125 grams;63;74;188;;Ethiopia
Panama La Esmeralda Bosque Lot 1 Gesha;94;San Diego, California;Boquete growing region, western Panama;Light;$48.00/8 ounces;64;85;21,16;48.0;Panama
Finca La Mula Panama Geisha Natural;95;Madison, Wisconsin;Chiriqui, western Panama.;Medium Light;$49.95/8 ounces;52;73;22,02;49.95;
La Lagunita El Salvador;94;Madison, Wisconsin;Apaneca, El Salvador;Medium Light;$18.75/12 ounces;59;79;5,51;18.75;Salvador
Kenya Kinuyu AA;95;Sacramento, California;Kirinyaga District, south-central Kenya;Medium Light;$21.00/12 ounces;57;70;6,17;21.0;Kenya
Costa Rica Alberto Guardia Venecia Honey;94;Sacramento, California;Central Valley, Costa Rica;Light;$18.50/12 ounces;63;85;5,44;45795,00;Rica
Nicaragua Cafe Vidita Los Congos Pacamara Natural;95;Boulder, Colorado;Nueva Segovia, Nicaragua;Light;$18.00/12 ounces;63;91;5,29;18.0;Nicaragua
Kenya Kigutha AA;94;Lee, Massachusetts;Kiambu growing region, south-central Kenya.;Medium Light;$17.95/12 ounces;60;78;5,28;17.95;
Panama Altieri Natural Geisha;96;Los Angeles, California;Boquete growing region, western Panama;Medium;$49.95/8 ounces;49;72;22,02;49.95;Panama
Organic Espresso;94;San Diego, California;Not disclosed.;Medium;$15.00/12 ounces;52;60;4,41;15.0;
Kemgin Ninety Plus;94;Lee, Massachusetts;Wellega, Sidama and Yirgacheffe growing regions, southern and western Ethiopia;Medium Light;$25.95/12 ounces;52;72;7,63;25.95;Ethiopia
Ethiopia Nigusse Lemma;94;Lee, Massachusetts;Limu growing region, western Ethiopia;Medium Light;$16.95/12 ounces;58;76;4,98;16.95;Ethiopia
Panama Don Pepe Estate Geisha Single-Origin Espresso;96;Sacramento, California;Boquete growing region, western Panama;Medium;$19.50/12 ounces;48;59;5,73;45796,00;Panama
Ichamama Kenya;94;Madison, Wisconsin;Nyeri County, Central Highlands, Kenya;Medium Light;$16.10/12 ounces;56;74;4,73;45673,00;Kenya
Las Flores Espresso;95;Madison, Wisconsin;Santa Maria de Dota valley, Tarrazu growing region, Costa Rica;Medium Light;$15.80/12 ounces;57;78;4,64;45884,00;Rica
El Salvador Finca Medrano Pacamara Nohemi Ventura;94;Seoul, South Korea;Chalatenango growing region, northwestern El Salvador;Light;KRW 40,000/500 grams;62;87;8;;Salvador
Ethiopia Jimma Agaro;95;Columbus, Ohio;Jimma Zone, Oromia State, Ethiopia;Light;$20.00/12 ounces;66;87;5,88;20.0;Ethiopia
Rwanda Silverback Espresso;95;Taoyuan City, Taiwan;Rwanda.;Medium Dark;NT $1,200/16 ounces;43;52;0,22;;
Ecuador “Mama Kilya” Espresso;94;Taoyuan City, Taiwan;Ecuador.;Medium Dark;NT $2,000/16 ounces;44;50;0,44;;
Ethiopia Hambela;94;Lexington, Virginia;Hambela district, Oromia growing region, southern Ethiopia;Medium Light;$18.95/12 ounces;55;78;5,57;18.95;Ethiopia
Kenya Nyeri Peaberry;95;Tulsa, Oklahoma;Nyeri County, Central Highlands, Kenya.;Medium Light;$14.40/12 ounces;55;76;4,23;45761,00;
Panama Lino Esmeralda Geisha Natural;96;La Jolla, California;Cañas Verdes, Boquete growing region, western Panama.;Light;$51.00/8 ounces;67;88;22,49;51.0;
Ethiopia Sidama Akrabi;94;Lake, Michigan;Guji Zone, Sidama Province, southern Ethiopia.;Medium Light;$15.00;58;71;;;
Kenya AA Gakuyuri;94;Jackson, Mississippi;Kirinyaga growing district, south-central Kenya.;Medium Light;$15.25/12 ounces;60;75;4,48;15.25;
Kenya Embu Gakui Peaberry;95;Torrington, Connecticut;Kiambu County, south-central Kenya.;Medium Light;$17.50/12 ounces;54;70;5,14;45794,00;
Kenya AA Kigwandi Estate;95;Branford, Connecticut;Nyeri County, Central Highlands, Kenya.;Medium Light;$17.99/16 ounces;59;75;3,97;17.99;
Ethiopia Yirgacheffe Buna Ababa;94;San Diego, California;Yirgacheffe growing region, southern Ethiopia.;Medium Light;$15.00/8 ounces;57;76;6,61;15.0;
Panama Don Pepe Fully Washed Geisha;96;Sacramento, California;Boquete growing region, western Panama.;Medium Light;$40.00/8 ounces;58;72;17,64;40.0;
Golden Mean Espresso Blend;94;Newport Beach, California;Not disclosed.;Medium;$14.95/12 ounces;48;60;4,39;14.95;
Finca La Mula Panama Geisha;97;Madison, Wisconsin;Chiriqui, western Panama.;Medium;$59.95/8 ounces;52;66;26,43;59.95;
S.O. Espresso Brazil Fazenda Santa Ines;94;Ramsey, Minnesota;Carmo de Minas growing region, Minas Gerais State, Brazil.;Medium;$12.95/12 ounces;47;60;3,81;35034,00;
