coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location
ManLao River Ethiopia Yirgacheffe Dry Process Gedeb Asasa;94.0;Pu'Er Yunnan Province, China;Gedeb District, Yirgacheffe growing region, southern Ethiopia;Medium Light;RMB $75.00/150 grams;54.0;78.0;50;;Ethiopia;pu'er yunnan province, china
Deri Kochoha Ethiopia;94.0;Madison, Wisconsin;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;$16.80/12 ounces;56.0;80.0;4,94;45885,00;Ethiopia;madison, wisconsin
Cachajinas Guatemala Huehuetenango;94.0;Lee, Massachusetts;Huehuetenango Department, Guatemala;Medium Light;$17.95/12 ounces;56.0;80.0;5,28;17.95;Guatemala;lee, massachusetts
Ethiopia Yirgacheffe Goro;94.0;Newtown, Sydney, Australia;Yirgacheffe growing region, south-central Ethiopia;Medium Light;AUD $16.00/250 grams;54.0;76.0;6,4;;Ethiopia;newtown, sydney, australia
El Obraje Geisha;95.0;Boulder, Colorado;Nariño Department, southern Colombia;Medium Light;$32.00/12 ounces;50.0;73.0;9,41;32.0;Colombia;boulder, colorado
Ethiopia Yirgacheffe Reko;96.0;Sacramento, California;Kochere, Yirgacheffe growing region, southern Ethiopia;Medium Light;$19.50/12 ounces;54.0;76.0;5,73;45796,00;Ethiopia;sacramento, california
Costa Rica Alberto Guardia Bourbon Natural;95.0;Sacramento, California;Central Valley, Costa Rica;Medium Light;$20.50/12 ounces;60.0;80.0;6,03;45797,00;Rica;sacramento, california
Colombia San Adolfo;94.0;Floyd, Virginia;San Adolfo, Acevedo, Huila Department, Colombia;Light;$17.00/12 ounces;65.0;81.0;5;17.0;Colombia;floyd, virginia
Laura’s Reserve SL-28;94.0;Holulaloa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$39.95/8 ounces;58.0;83.0;17,61;39.95;Hawaii;holulaloa, hawaii
Brazil Estancia Telese;94.0;Billings, Montana;Mantiqueira de Minas growing region, Minas Gerais State, Brazil;Light;$13.25/12 ounces;66.0;83.0;3,89;13.25;Brazil;billings, montana
Brazil Fazenda Passeio Natural;94.0;Branford, Connecticut;Carmo de Minas growing region, Minas Gerais State, Brazil;Medium Light;$13.99/16 ounces;55.0;81.0;3,08;13.99;Brazil;branford, connecticut
Kenya Nyeri Gatugi AA;94.0;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Light;$500 NTD/16 ounces;60.0;84.0;110,23;;Kenya;chia-yi, taiwan
Panama La Esmeralda Bosque Geisha;95.0;San Diego, California;Boquete growing region, western Panama;Medium Light;$50.00/8 ounces;53.0;80.0;22,05;50.0;Panama;san diego, california
Ethiopia Yirgacheffe Kebele Kochore;94.0;San Diego, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$28.00/16 ounces;48.0;78.0;6,17;28.0;Ethiopia;san diego, california
El Sitio Ecuador;94.0;Lexington, Virginia;Pichincha growing region, northern Ecuador;Medium Light;$18.95/12 ounces;52.0;80.0;5,57;18.95;Ecuador;lexington, virginia
Harfusa Espresso;94.0;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$17.80/12 ounces;57.0;84.0;5,23;45886,00;Ethiopia;madison, wisconsin
SOPACDI Congo;94.0;Lexington, Virginia;Kalehe, South Kivu Province, Democratic Republic of the Congo;Medium Light;$17.95/12 ounces;54.0;74.0;5,28;17.95;Congo;lexington, virginia
Reserve Panama Geisha Hacienda La Esmeralda;95.0;Chicago, Illinois;Boquete growing region, western Panama;Medium Light;$53.00/8 ounces;54.0;86.0;23,37;53.0;Panama;chicago, illinois
Competition Blend;94.0;Floyd, Virginia;Yirgacheffe growing region, southern Ethiopia;Light;$16.99/12 ounces;62.0;84.0;4,99;16.99;Ethiopia;floyd, virginia
Bean Brain Reserve Suke Quto Ethiopia Sidamo Espresso;94.0;San Diego, California;Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia;Medium Light;$19.00/12 ounces;60.0;80.0;5,59;19.0;Ethiopia;san diego, california
Hambela Ethiopia;96.0;Lee, Massachusetts;Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$17.45/12 ounces;57.0;82.0;5,13;17.45;Ethiopia;lee, massachusetts
Drima Zede Ethiopia;94.0;Suzhou, China;Yirgacheffe growing region, southern Ethiopia;Medium Light;CNY $90/227 grams;57.0;82.0;39,65;;Ethiopia;suzhou, china
Ecuador Juan Peña;94.0;San Francisco, California;Saraguru growing region, southern Ecuador;Light;$20.00/250 grams;64.0;78.0;8;0.7054673721340388;Ecuador;san francisco, california
Kenya Othaya Peaberry;94.0;New Orleans, Louisiana;Nyeri growing region, central Kenya;Medium Light;$14.75/12 ounces;55.0;80.0;4,34;14.75;Kenya;new orleans, louisiana
Organic Ethiopia Aramo Natural;94.0;Driftless, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Light;$17.75/12 ounces;64.0;84.0;5,22;17.75;Ethiopia;driftless, wisconsin
Love Shack (Kenya);94.0;Post Falls, Idaho;Kenya;Medium Light;$17.50/12 ounces;54.0;78.0;5,14;45794,00;Kenya;post falls, idaho
100% Kona Bourbon Pointu Laurina;94.0;Holulaloa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$34.95/8 ounces;56.0;78.0;15,41;34.95;Hawaii;holulaloa, hawaii
Costa Rica Alberto Guardia Venecia Natural;95.0;Sacramento, California;Central Valley, Costa Rica;Light;$18.50/12 ounces;60.0;82.0;5,44;45795,00;Rica;sacramento, california
Adame Gorbota Espresso;95.0;Madison, Wisconsin;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$17.50/12 ounces;56.0;72.0;5,14;45794,00;Ethiopia;madison, wisconsin
El Aguila Pacamara Espresso;94.0;Santa Ana growing region, El Salvador;Santa Ana growing region, El Salvador;Medium Light;$15.75/12 ounces;60.0;80.0;4,63;15.75;Salvador;santa ana , el salvador
Ethiopia Natural Yirgacheffe Banko Gutiti Coop;95.0;Chia-Yi, Taiwan;Kochere, Yirgacheffe growing region, south-central Ethiopia;Light;NT $600/16 ounces;62.0;84.0;132,28;600.0;Ethiopia;chia-yi, taiwan
Ethiopia Natural Sidamo Guji Shakisso;94.0;Chia-Yi, Taiwan;Sidama (also Sidamo) growing region, southern Ethiopia;Medium Light;NT $500/16 ounces;53.0;81.0;110,23;500.0;Ethiopia;chia-yi, taiwan
Colombia Granja La Esperanza Las Margaritas Sudan Rume;95.0;Topeka, Kansas;Valle del Cauca growing region, Colombia;Medium Light;$35.00/8 ounces;52.0;78.0;15,43;35.0;Colombia;topeka, kansas
Adame Gorbota Ethiopia;94.0;Madison, Wisconsin;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$17.50/12 ounces;54.0;82.0;5,14;45794,00;Ethiopia;madison, wisconsin
Ethiopia Yirgacheffe Adado;94.0;Bedford, New Hampshire;Yirgacheffe growing region, southern Ethiopia;Medium Light;$15.50/12 ounces;55.0;78.0;4,56;45792,00;Ethiopia;bedford, new hampshire
Panama Ratibor Hartmann Natural;95.0;Sacramento, California;Santa Clara, Piedra Candela, Volcan growing region, western Panama;Medium Light;$17.50/12 ounces;58.0;80.0;5,14;45794,00;Panama;sacramento, california
Kenya AA Nyeri Tambaya;94.0;Floyd, Virginia;Nyeri growing region, south-central Kenya;Light;$15.49/12 ounces;60.0;84.0;4,55;15.49;Kenya;floyd, virginia
Costa Rica Las Lajas Red Honey;94.0;Floyd, Virginia;Sabanilla de Alajuela growing region, Costa Rica;Medium Light;$16.49/12 ounces;53.0;77.0;4,85;16.49;Rica;floyd, virginia
Bernachon Panama Geisha;95.0;Taipei, Taiwan;Boquete growing region, western Panama;Medium Light;NT $2800/454 grams;60.0;76.0;616,74;98.76543209876543;Panama;taipei, taiwan
Panama La Esmeralda Geisha Bosque Natural;97.0;Sacramento, California;Boquete growing region, western Panama;Medium Light;$62.00/8 ounces;59.0;82.0;27,34;62.0;Panama;sacramento, california
Harfusa Ethiopia Yirgacheffe Fair Trade Organic;95.0;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$17.80/12 ounces;54.0;76.0;5,23;45886,00;Ethiopia;madison, wisconsin
ASOPCAFA Colombia;94.0;Madison, Wisconsin;Huila Department, southern Colombia;Medium Light;$14.85/12 ounces;60.0;77.0;4,37;14.85;Colombia;madison, wisconsin
Guatemala San Sebastian Natural;95.0;San Francisco, California;Antigua Valley, Guatemala;Medium Light;$14.50/250 grams;59.0;78.0;5,8;0.5114638447971781;Guatemala;san francisco, california
Ethiopia Hachira Natural Espresso;94.0;San Francisco, California;Yirgacheffe growing region, southern Ethiopia;Light;$22.50/250 grams;62.0;87.0;9;0.7936507936507936;Ethiopia;san francisco, california
Ethiopia Kochere Espresso Profile;94.0;San Francisco, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$18.00/320 grams;50.0;79.0;5,62;0.6349206349206349;Ethiopia;san francisco, california
Kenya Nyeri Kiama FCS Ichuga Factory Peaberry;95.0;Seattle, Washington;South-central Kenya;Medium;$19.50/12 ounces;49.0;68.0;5,73;45796,00;Kenya;seattle, washington
Kenya Nyeri Thageini;94.0;Belmar, New Jersey;South-central Kenya;Medium Light;$18.00/12 ounces;54.0;68.0;5,29;18.0;Kenya;belmar, new jersey
Kenya AA Lot-125 “Queen Flora”;95.0;Taoyuan City, Taiwan;Kenya;Medium Dark;NT $900/8 ounces;44.0;56.0;396,83;900.0;Kenya;taoyuan city, taiwan
Ethiopia Natural Yirgacheffe Phoenix Special “King Solomon”;94.0;Taoyuan City, Taiwan;"Yirgacheffe growing region, southern Ethiopia; Sidama (also Sidamo) growing region, southern Ethiopia";Medium;NT $800/8 ounces;48.0;60.0;352,73;800.0;Ethiopia;taoyuan city, taiwan
Fully Washed Ethiopia Phoenix Special “Dr. Evil”;94.0;Taoyuan City, Taiwan;Ethiopia;Medium;NT $700/8 ounces;45.0;57.0;308,64;700.0;Ethiopia;taoyuan city, taiwan
Sulawesi “Tanah Kebangkitan” Phoenix Special Espresso;94.0;Taoyuan City, Taiwan;Toraja growing region, South Sulawesi, Indonesia;Medium Dark;NT $700/8 ounces;44.0;56.0;308,64;700.0;Indonesia;taoyuan city, taiwan
Kenya AA Lot-122 “Excalibur” Espresso;94.0;Taoyuan City, Taiwan;Kenya;Medium Dark;NT $900/8 ounces;45.0;54.0;396,83;900.0;Kenya;taoyuan city, taiwan
Panama Elida Natural Lot #13;95.0;Sacramento, California;Boquete growing region, western Panama;Light;$20.00/250 grams;63.0;86.0;8;0.7054673721340388;Panama;sacramento, california
Emma’s Jo: The Leam Hammer Competition Espresso;95.0;Boulder, Colorado;"Central America; South America; East Africa";Medium Light;$18.00/12 ounces;55.0;75.0;5,29;18.0;Africa;boulder, colorado
